iter	Passed	Remaining
0	59	58990
1	59	29660
2	59	19887
3	60	14990
4	60	12045
5	60	10077
6	61	8689
7	61	7640
8	61	6822
9	62	6166
10	62	5631
11	63	5187
12	63	4812
13	63	4491
14	64	4214
15	64	3969
16	64	3752
17	65	3560
18	65	3384
19	65	3224
20	66	3081
21	66	2950
22	66	2832
23	67	2726
24	67	2630
25	67	2537
26	68	2450
27	68	2370
28	68	2295
29	68	2224
30	69	2158
31	69	2097
32	69	2042
33	69	1987
34	70	1937
35	70	1889
36	70	1843
37	71	1800
38	71	1759
39	71	1722
40	72	1687
41	72	1654
42	72	1622
43	73	1589
44	73	1558
45	73	1527
46	74	1501
47	74	1477
48	74	1452
49	75	1429
50	75	1406
51	75	1383
52	76	1360
53	76	1339
54	76	1320
55	77	1300
56	77	1282
57	77	1264
58	78	1248
59	78	1232
60	79	1216
61	79	1199
62	79	1184
63	80	1171
64	80	1156
65	80	1142
66	80	1127
67	81	1113
68	81	1100
69	81	1087
70	82	1076
71	82	1065
72	83	1054
73	83	1043
74	83	1031
75	83	1020
76	84	1009
77	84	999
78	84	989
79	85	979
80	85	969
81	85	959
82	85	947
83	86	938
84	86	930
85	86	921
86	86	912
87	87	904
88	87	897
89	87	889
90	88	881
91	88	874
92	88	866
93	89	858
94	89	852
95	89	846
96	90	838
97	90	831
98	90	824
99	91	819
100	91	812
101	91	806
102	91	800
103	92	794
104	92	788
105	92	783
106	93	777
107	93	772
108	93	767
109	94	762
110	94	757
111	94	751
112	95	746
113	95	740
114	95	735
115	95	730
116	96	724
117	96	719
118	96	715
119	97	711
120	97	707
121	97	702
122	97	698
123	98	694
124	98	690
125	98	686
126	99	681
127	99	677
128	99	673
129	100	669
130	100	665
131	100	661
132	100	657
133	101	653
134	101	649
135	101	646
136	102	642
137	102	639
138	102	636
139	103	633
140	103	630
141	103	626
142	103	622
143	104	619
144	104	617
145	105	614
146	105	611
147	105	608
148	105	605
149	106	602
150	106	599
151	106	596
152	107	596
153	108	594
154	108	591
155	108	588
156	109	585
157	109	583
158	109	580
159	109	577
160	110	573
161	110	571
162	110	568
163	111	566
164	111	563
165	111	560
166	111	558
167	112	556
168	112	554
169	112	551
170	113	548
171	113	546
172	113	543
173	114	541
174	114	538
175	114	536
176	114	534
177	115	532
178	115	529
179	115	527
180	116	525
181	116	523
182	116	521
183	116	518
184	117	516
185	117	514
186	117	512
187	118	510
188	118	508
189	118	507
190	119	504
191	119	502
192	119	500
193	120	498
194	120	496
195	120	494
196	120	492
197	121	490
198	121	489
199	121	487
200	122	485
201	122	483
202	122	481
203	122	479
204	123	477
205	123	475
206	123	473
207	123	471
208	124	470
209	124	468
210	124	466
211	125	464
212	125	463
213	125	461
214	125	459
215	126	457
216	126	456
217	126	454
218	127	453
219	127	451
220	127	450
221	127	448
222	128	446
223	128	445
224	128	443
225	129	442
226	129	440
227	129	438
228	129	437
229	130	435
230	130	434
231	130	432
232	130	431
233	131	429
234	131	428
235	131	427
236	132	425
237	132	423
238	132	422
239	133	421
240	133	419
241	133	418
242	133	416
243	134	415
244	134	414
245	134	412
246	134	411
247	135	410
248	135	408
249	135	407
250	136	406
251	136	404
252	137	405
253	137	404
254	137	402
255	138	401
256	138	400
257	138	398
258	138	397
259	139	396
260	139	395
261	139	393
262	140	392
263	140	391
264	140	390
265	140	389
266	141	387
267	141	386
268	141	385
269	142	383
270	142	382
271	142	381
272	142	380
273	143	379
274	143	377
275	143	376
276	143	375
277	144	374
278	144	373
279	144	371
280	144	370
281	145	369
282	145	368
283	145	367
284	145	365
285	146	364
286	146	363
287	146	362
288	146	361
289	147	360
290	147	359
291	147	358
292	147	357
293	148	355
294	148	354
295	148	353
296	149	352
297	149	351
298	149	350
299	149	349
300	150	348
301	150	347
302	150	346
303	150	345
304	151	344
305	151	343
306	151	342
307	151	341
308	152	340
309	152	339
310	152	338
311	152	337
312	153	336
313	153	335
314	153	334
315	153	333
316	154	332
317	154	331
318	154	330
319	155	329
320	155	328
321	155	327
322	155	326
323	156	325
324	156	324
325	156	323
326	156	322
327	157	321
328	157	320
329	157	319
330	157	318
331	158	318
332	158	317
333	158	316
334	158	315
335	159	314
336	159	313
337	159	312
338	159	311
339	160	310
340	160	309
341	160	309
342	160	308
343	161	307
344	161	306
345	162	306
346	162	305
347	162	304
348	162	303
349	163	303
350	163	302
351	163	301
352	164	300
353	164	299
354	164	298
355	164	298
356	165	297
357	165	296
358	165	295
359	165	294
360	166	293
361	166	293
362	166	292
363	166	291
364	167	290
365	167	289
366	167	288
367	167	288
368	168	287
369	168	286
370	168	285
371	168	285
372	169	284
373	169	283
374	169	282
375	169	281
376	170	281
377	170	280
378	170	279
379	170	278
380	171	277
381	171	277
382	171	276
383	171	275
384	172	274
385	172	274
386	172	273
387	172	272
388	173	271
389	173	271
390	173	270
391	173	269
392	174	268
393	174	268
394	174	267
395	174	266
396	175	266
397	175	265
398	175	264
399	175	263
400	176	263
401	176	262
402	176	261
403	177	261
404	177	260
405	177	259
406	177	259
407	178	258
408	178	257
409	178	257
410	178	256
411	179	255
412	179	255
413	179	254
414	179	253
415	180	252
416	180	252
417	180	251
418	180	250
419	181	250
420	181	249
421	181	248
422	182	248
423	182	247
424	182	247
425	182	246
426	183	245
427	183	245
428	183	244
429	184	243
430	184	243
431	184	242
432	184	241
433	185	241
434	185	240
435	185	240
436	185	239
437	186	238
438	186	238
439	186	237
440	186	236
441	187	236
442	187	235
443	187	235
444	188	234
445	188	234
446	188	233
447	188	232
448	189	232
449	189	231
450	189	231
451	190	230
452	190	229
453	190	229
454	190	228
455	191	228
456	191	227
457	191	226
458	191	226
459	192	225
460	192	225
461	192	224
462	193	224
463	193	223
464	193	222
465	193	222
466	194	221
467	194	221
468	194	220
469	194	219
470	195	219
471	195	218
472	195	218
473	196	217
474	196	217
475	196	216
476	196	215
477	197	215
478	197	214
479	198	215
480	198	214
481	199	214
482	199	213
483	199	212
484	199	212
485	200	211
486	200	211
487	200	210
488	201	210
489	201	209
490	201	209
491	201	208
492	202	207
493	202	207
494	202	206
495	203	206
496	203	205
497	203	205
498	203	204
499	204	204
500	204	203
501	204	203
502	205	202
503	205	201
504	205	201
505	205	200
506	206	200
507	206	199
508	206	199
509	206	198
510	207	198
511	207	197
512	207	197
513	207	196
514	208	196
515	208	195
516	208	194
517	208	194
518	209	193
519	209	193
520	209	192
521	209	192
522	210	191
523	210	191
524	210	190
525	210	190
526	211	189
527	211	189
528	211	188
529	212	188
530	212	187
531	212	187
532	213	187
533	213	186
534	214	186
535	214	185
536	214	185
537	215	184
538	215	184
539	215	183
540	215	183
541	216	182
542	216	182
543	216	181
544	216	181
545	217	180
546	217	180
547	217	179
548	217	179
549	218	178
550	218	177
551	218	177
552	218	176
553	219	176
554	219	176
555	219	175
556	220	175
557	220	174
558	220	174
559	220	173
560	221	173
561	221	172
562	221	172
563	221	171
564	222	171
565	222	170
566	222	170
567	222	169
568	223	169
569	223	168
570	223	168
571	223	167
572	224	167
573	224	166
574	224	166
575	224	165
576	225	165
577	225	164
578	225	164
579	225	163
580	226	163
581	226	162
582	226	162
583	226	161
584	227	161
585	227	160
586	227	160
587	227	159
588	228	159
589	228	158
590	228	158
591	228	157
592	229	157
593	229	156
594	229	156
595	229	155
596	230	155
597	230	154
598	230	154
599	230	153
600	231	153
601	231	153
602	231	152
603	231	152
604	232	151
605	232	151
606	232	150
607	232	150
608	233	149
609	233	149
610	233	148
611	233	148
612	234	147
613	234	147
614	234	146
615	234	146
616	235	146
617	235	145
618	235	145
619	236	144
620	236	144
621	236	143
622	236	143
623	237	142
624	237	142
625	237	141
626	237	141
627	238	141
628	238	140
629	238	140
630	238	139
631	239	139
632	239	138
633	239	138
634	240	137
635	240	137
636	240	137
637	240	136
638	241	136
639	241	135
640	241	135
641	241	134
642	242	134
643	242	133
644	242	133
645	242	133
646	243	132
647	243	132
648	243	131
649	243	131
650	244	130
651	244	130
652	244	130
653	244	129
654	245	129
655	245	128
656	245	128
657	245	127
658	246	127
659	246	126
660	246	126
661	247	126
662	247	125
663	247	125
664	247	124
665	248	124
666	248	124
667	248	123
668	249	123
669	249	122
670	249	122
671	249	121
672	250	121
673	250	121
674	250	120
675	250	120
676	251	119
677	251	119
678	251	118
679	251	118
680	252	118
681	252	117
682	252	117
683	252	116
684	253	116
685	253	116
686	253	115
687	254	115
688	254	114
689	254	114
690	254	113
691	255	113
692	255	113
693	255	112
694	255	112
695	256	111
696	256	111
697	256	111
698	256	110
699	257	110
700	257	109
701	257	109
702	257	108
703	258	108
704	258	108
705	258	107
706	258	107
707	259	106
708	259	106
709	259	106
710	259	105
711	260	105
712	260	104
713	260	104
714	261	104
715	261	103
716	261	103
717	261	102
718	262	102
719	262	102
720	262	101
721	262	101
722	263	100
723	263	100
724	263	100
725	263	99
726	264	99
727	264	98
728	264	98
729	265	98
730	265	97
731	265	97
732	265	96
733	266	96
734	266	96
735	266	95
736	266	95
737	267	94
738	267	94
739	267	94
740	267	93
741	268	93
742	268	92
743	268	92
744	269	92
745	269	91
746	269	91
747	269	90
748	270	90
749	270	90
750	270	89
751	270	89
752	271	88
753	271	88
754	271	88
755	271	87
756	272	87
757	272	86
758	272	86
759	272	86
760	273	85
761	273	85
762	273	85
763	274	84
764	274	84
765	274	83
766	274	83
767	275	83
768	275	82
769	275	82
770	275	81
771	276	81
772	276	81
773	276	80
774	276	80
775	277	80
776	277	79
777	277	79
778	278	78
779	278	78
